env_GANTRY_VERSION,env_GITHUB_REPO,env_GIT_REF,env_LEARNING_RATE,env_METHOD,env_MODEL,env_PIP_REQUIREMENTS_FILE,env_PYTHON_VERSION,env_RANK,env_SEED,env_TASK,env_WANDB_MODE,experiment_id,experiment_name,metrics_epoch,metrics_eval_accuracy,metrics_eval_loss,metrics_eval_macro-f1,metrics_eval_micro-f1,metrics_eval_runtime,metrics_eval_samples,metrics_eval_samples_per_second,metrics_eval_steps_per_second,task_canceled,task_id,task_name
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,2,1,hellaswag,,01H9P8XKAWRQEYV880WXWEH6G0,,,,,,,,,,,2023-09-06 22:48:45.15541 +0000 UTC,01H9P8XKAYYKNR4G1S5SQZM9M5,hellaswag-microsoft-deberta-v3-xsmall-lora_2-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,4,1,hellaswag,,01H9P8XP9PA8XVQWDTSRZ2J35N,,3.76,0.3617805218084047,1.3160353899002075,0.32518908577140193,0.3617805218084047,118.4396,10042,84.786,10.605,,01H9P8XP9RB1WFZ64C7F40YSYG,hellaswag-microsoft-deberta-v3-xsmall-lora_4-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,16,1,hellaswag,,01H9P8XS7T5HPA7QJ734YVJH7T,,3.76,0.38179645488946423,1.2933459281921387,0.34128859954525326,0.3817964548894642,86.494,10042,116.1,14.521,,01H9P8XS7XB4HT405WHV0WCDFN,hellaswag-microsoft-deberta-v3-xsmall-lora_16-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,64,1,hellaswag,,01H9P8XZ5H7FTC4KGECH774CM9,,3.76,0.3974307906791476,1.2823803424835205,0.3541723976895014,0.39743079067914766,88.3836,10042,113.618,14.211,,01H9P8XZ5KY5HRWG2KWYYP8QAV,hellaswag-microsoft-deberta-v3-xsmall-lora_64-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,32,1,hellaswag,,01H9P8Y12YVSSG0EZX196B1XHE,,3.76,0.398725353515236,1.281470537185669,0.3615777278634762,0.3987253535152361,87.3411,10042,114.974,14.38,,01H9P8Y130XC3WX5WSETB85N00,hellaswag-microsoft-deberta-v3-xsmall-lora_32-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,3843,1,hellaswag,,01H9P8Y25K32819AZ7C9B2C89D,,3.76,0.3964349731129257,1.2838436365127563,0.3545503584734673,0.3964349731129257,130.9873,10042,76.664,9.589,,01H9P8Y25PVT2H1GECTKWY46S4,hellaswag-microsoft-deberta-v3-xsmall-lora_3843-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,769,1,hellaswag,,01H9P8Y52CTQ5SCSYXZSCBWEW6,,3.76,0.39832702648874724,1.2819312810897827,0.347887608353415,0.3983270264887472,95.6621,10042,104.974,13.13,,01H9P8Y52DE98WP3S5J0TTA8YF,hellaswag-microsoft-deberta-v3-xsmall-lora_769-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1538,1,hellaswag,,01H9P8Y81FAQM43BS9TJNXBZZB,,3.76,0.39543915554670384,1.2816545963287354,0.35346166518880356,0.3954391555467038,102.3441,10042,98.12,12.272,,01H9P8Y81HVDERWHHCHNPANCDG,hellaswag-microsoft-deberta-v3-xsmall-lora_1538-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,5e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,2306,1,hellaswag,,01H9P8YB1Z9BYFRQTHY6636VSX,,3.76,0.3791077474606652,1.292325496673584,0.3515397052127375,0.3791077474606652,102.7292,10042,97.752,12.226,,01H9P8YB212GAP1Q0S8YFW6DCJ,hellaswag-microsoft-deberta-v3-xsmall-lora_2306-lr_5e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,5e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,2306,1,hellaswag,,01H9P8YB1Z9BYFRQTHY6636VSX,,,,,,,,,,,2023-09-07 02:09:12.160886 +0000 UTC,01H9P8YB212GAP1Q0S8YFW6DCJ,hellaswag-microsoft-deberta-v3-xsmall-lora_2306-lr_5e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,5e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,2306,1,hellaswag,,01H9P8YB1Z9BYFRQTHY6636VSX,,,,,,,,,,,2023-09-06 22:58:38.692064 +0000 UTC,01H9P8YB212GAP1Q0S8YFW6DCJ,hellaswag-microsoft-deberta-v3-xsmall-lora_2306-lr_5e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,5e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,3075,1,hellaswag,,01H9P8YE73JGQB15HGWWXSFNTH,,3.76,0.25731925911173076,1.3864878416061401,0.10232852843339142,0.25731925911173076,107.6612,10042,93.274,11.666,,01H9P8YE75VAWNWWPB000GFDYM,hellaswag-microsoft-deberta-v3-xsmall-lora_3075-lr_5e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,5e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,3075,1,hellaswag,,01H9P8YE73JGQB15HGWWXSFNTH,,,,,,,,,,,2023-09-06 22:30:26.291722 +0000 UTC,01H9P8YE75VAWNWWPB000GFDYM,hellaswag-microsoft-deberta-v3-xsmall-lora_3075-lr_5e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1,2,hellaswag,,01H9P8YKWGR9P0Z7WJG56R7083,,,,,,,,,,,2023-09-06 22:59:11.237103 +0000 UTC,01H9P8YKWJT0RX6J01N5856994,hellaswag-microsoft-deberta-v3-xsmall-lora_1-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1,2,hellaswag,,01H9P8YKWGR9P0Z7WJG56R7083,,3.76,0.34863572993427605,1.3321969509124756,0.3041821338411101,0.34863572993427605,72.1307,10042,139.22,17.413,,01H9P8YKWJT0RX6J01N5856994,hellaswag-microsoft-deberta-v3-xsmall-lora_1-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,2,2,hellaswag,,01H9P8YPVXFGZJ52AGWZ6DHSWC,,,,,,,,,,,2023-09-06 22:59:16.026586 +0000 UTC,01H9P8YPVZSVSXPREWAVDGVFY6,hellaswag-microsoft-deberta-v3-xsmall-lora_2-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,2,2,hellaswag,,01H9P8YPVXFGZJ52AGWZ6DHSWC,,3.76,0.34335789683330015,1.3247593641281128,0.3071619603943231,0.34335789683330015,91.7954,10042,109.395,13.683,,01H9P8YPVZSVSXPREWAVDGVFY6,hellaswag-microsoft-deberta-v3-xsmall-lora_2-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,4,2,hellaswag,,01H9P8YSZ9NEZNYXFMSNX8MMBM,,,,,,,,,,,2023-09-06 22:59:44.909589 +0000 UTC,01H9P8YSZCSJ71XPKJR8VHTQ77,hellaswag-microsoft-deberta-v3-xsmall-lora_4-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,4,2,hellaswag,,01H9P8YSZ9NEZNYXFMSNX8MMBM,,3.76,0.3498307110137423,1.3196296691894531,0.31389921076644267,0.3498307110137423,84.511,10042,118.825,14.862,,01H9P8YSZCSJ71XPKJR8VHTQ77,hellaswag-microsoft-deberta-v3-xsmall-lora_4-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,16,2,hellaswag,,01H9P8YWTGYMB27H9C4C6B414C,,3.76,0.38179645488946423,1.2933456897735596,0.34128859954525326,0.3817964548894642,88.2747,10042,113.759,14.228,,01H9P8YWTK3XABTDTMJG4Q197B,hellaswag-microsoft-deberta-v3-xsmall-lora_16-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,32,2,hellaswag,,01H9P8YZS633AWBSCQEC6015SR,,,,,,,,,,,2023-09-06 23:00:03.165352 +0000 UTC,01H9P8YZS81SGD1VNG58M2286P,hellaswag-microsoft-deberta-v3-xsmall-lora_32-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,32,2,hellaswag,,01H9P8YZS633AWBSCQEC6015SR,,3.76,0.3824935271858196,1.2855982780456543,0.34140167912162234,0.3824935271858196,72.7542,10042,138.026,17.264,,01H9P8YZS81SGD1VNG58M2286P,hellaswag-microsoft-deberta-v3-xsmall-lora_32-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,64,2,hellaswag,,01H9P8Z2RA3V5KG4YD3KR4ZV11,,3.76,0.38418641704839673,1.2887036800384521,0.3417170338615034,0.38418641704839673,81.5701,10042,123.109,15.398,,01H9P8Z2RCPJ73ASRGNC78G3MD,hellaswag-microsoft-deberta-v3-xsmall-lora_64-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,64,2,hellaswag,,01H9P8Z2RA3V5KG4YD3KR4ZV11,,,,,,,,,,,2023-09-07 02:10:15.848386 +0000 UTC,01H9P8Z2RCPJ73ASRGNC78G3MD,hellaswag-microsoft-deberta-v3-xsmall-lora_64-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,64,2,hellaswag,,01H9P8Z2RA3V5KG4YD3KR4ZV11,,,,,,,,,,,2023-09-06 23:06:55.406963 +0000 UTC,01H9P8Z2RCPJ73ASRGNC78G3MD,hellaswag-microsoft-deberta-v3-xsmall-lora_64-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,3843,2,hellaswag,,01H9P8Z5R4Q4VYK7VGNQT84KH9,,3.76,0.3877713602867955,1.2881420850753784,0.3461790411131286,0.3877713602867955,137.4054,10042,73.083,9.141,,01H9P8Z5R6YMDAYR484MV7EJQC,hellaswag-microsoft-deberta-v3-xsmall-lora_3843-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,3843,2,hellaswag,,01H9P8Z5R4Q4VYK7VGNQT84KH9,,,,,,,,,,,2023-09-07 02:10:47.453557 +0000 UTC,01H9P8Z5R6YMDAYR484MV7EJQC,hellaswag-microsoft-deberta-v3-xsmall-lora_3843-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,3843,2,hellaswag,,01H9P8Z5R4Q4VYK7VGNQT84KH9,,,,,,,,,,,2023-09-06 23:07:26.229847 +0000 UTC,01H9P8Z5R6YMDAYR484MV7EJQC,hellaswag-microsoft-deberta-v3-xsmall-lora_3843-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,769,2,hellaswag,,01H9P8Z8P2Y0VMGP5P715JTNEJ,,,,,,,,,,,2023-09-06 23:07:35.805556 +0000 UTC,01H9P8Z8P47K6FPVCQYJ726V86,hellaswag-microsoft-deberta-v3-xsmall-lora_769-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,769,2,hellaswag,,01H9P8Z8P2Y0VMGP5P715JTNEJ,,3.76,0.39832702648874724,1.2819312810897827,0.347887608353415,0.3983270264887472,96.8753,10042,103.659,12.965,,01H9P8Z8P47K6FPVCQYJ726V86,hellaswag-microsoft-deberta-v3-xsmall-lora_769-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1538,2,hellaswag,,01H9P8ZBV4R714JJE58D90JH0Z,,3.76,0.376319458275244,1.3060872554779053,0.32258065504030187,0.37631945827524405,103.0192,10042,97.477,12.192,,01H9P8ZBV7WJCY0QH17GAKJ2DA,hellaswag-microsoft-deberta-v3-xsmall-lora_1538-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1538,2,hellaswag,,01H9P8ZBV4R714JJE58D90JH0Z,,,,,,,,,,,2023-09-07 02:09:44.141315 +0000 UTC,01H9P8ZBV7WJCY0QH17GAKJ2DA,hellaswag-microsoft-deberta-v3-xsmall-lora_1538-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1538,2,hellaswag,,01H9P8ZBV4R714JJE58D90JH0Z,,,,,,,,,,,2023-09-06 23:03:48.578611 +0000 UTC,01H9P8ZBV7WJCY0QH17GAKJ2DA,hellaswag-microsoft-deberta-v3-xsmall-lora_1538-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,5e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,2306,2,hellaswag,,01H9P8ZET0BMR0Y88X3A6QPB5Z,,3.76,0.25731925911173076,1.3891571760177612,0.10232852843339142,0.25731925911173076,108.8717,10042,92.237,11.537,,01H9P8ZET28G8EJ51EXH7RZVQG,hellaswag-microsoft-deberta-v3-xsmall-lora_2306-lr_5e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,5e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,2306,2,hellaswag,,01H9P8ZET0BMR0Y88X3A6QPB5Z,,,,,,,,,,,2023-09-06 23:07:57.735429 +0000 UTC,01H9P8ZET28G8EJ51EXH7RZVQG,hellaswag-microsoft-deberta-v3-xsmall-lora_2306-lr_5e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,5e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,3075,2,hellaswag,,01H9P8ZHJMS5QRERAF6WW70HZ8,,,,,,,,,,,2023-09-06 23:08:10.626417 +0000 UTC,01H9P8ZHJP4ST7XV039GJNDG17,hellaswag-microsoft-deberta-v3-xsmall-lora_3075-lr_5e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,5e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,3075,2,hellaswag,,01H9P8ZHJMS5QRERAF6WW70HZ8,,3.76,0.33897629954192393,1.3267468214035034,0.27585160340812487,0.33897629954192393,116.8071,10042,85.971,10.753,,01H9P8ZHJP4ST7XV039GJNDG17,hellaswag-microsoft-deberta-v3-xsmall-lora_3075-lr_5e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1,3,hellaswag,,01H9P8ZQFGG0Q3K8Y4VD020VJJ,,3.76,0.35301732722565227,1.3304474353790283,0.31298218380774473,0.35301732722565227,83.9521,10042,119.616,14.961,,01H9P8ZQFKD4BNRNWY1VCABD75,hellaswag-microsoft-deberta-v3-xsmall-lora_1-lr_1e-4-seed_3
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1,3,hellaswag,,01H9P8ZQFGG0Q3K8Y4VD020VJJ,,,,,,,,,,,2023-09-06 23:08:30.48393 +0000 UTC,01H9P8ZQFKD4BNRNWY1VCABD75,hellaswag-microsoft-deberta-v3-xsmall-lora_1-lr_1e-4-seed_3
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,2,3,hellaswag,,01H9P8ZTDC0PSKF4VVHDERAH6G,,3.76,0.3573989245170285,1.3199712038040161,0.324268577221378,0.3573989245170285,84.7418,10042,118.501,14.821,,01H9P8ZTDEJD13AXZBYQ4C5AVW,hellaswag-microsoft-deberta-v3-xsmall-lora_2-lr_1e-4-seed_3
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,2,3,hellaswag,,01H9P8ZTDC0PSKF4VVHDERAH6G,,,,,,,,,,,2023-09-06 23:08:37.204339 +0000 UTC,01H9P8ZTDEJD13AXZBYQ4C5AVW,hellaswag-microsoft-deberta-v3-xsmall-lora_2-lr_1e-4-seed_3
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,4,3,hellaswag,,01H9P8ZXCZB4HCC5DGPPT2MTN6,,,,,,,,,,,2023-09-06 23:08:41.166262 +0000 UTC,01H9P8ZXD14DZR8KRXZ259YRD0,hellaswag-microsoft-deberta-v3-xsmall-lora_4-lr_1e-4-seed_3
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,4,3,hellaswag,,01H9P8ZXCZB4HCC5DGPPT2MTN6,,3.76,0.3877713602867955,1.2955923080444336,0.3569899065436988,0.3877713602867955,84.5962,10042,118.705,14.847,,01H9P8ZXD14DZR8KRXZ259YRD0,hellaswag-microsoft-deberta-v3-xsmall-lora_4-lr_1e-4-seed_3
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,16,3,hellaswag,,01H9P900PVASWN4557SRN342PE,,,,,,,,,,,2023-09-06 23:09:03.646092 +0000 UTC,01H9P900Q20Z8YHKDC6H86HN9X,hellaswag-microsoft-deberta-v3-xsmall-lora_16-lr_1e-4-seed_3
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,16,3,hellaswag,,01H9P900PVASWN4557SRN342PE,,3.76,0.38179645488946423,1.2933460474014282,0.34128859954525326,0.3817964548894642,85.5749,10042,117.348,14.677,,01H9P900Q20Z8YHKDC6H86HN9X,hellaswag-microsoft-deberta-v3-xsmall-lora_16-lr_1e-4-seed_3
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,32,3,hellaswag,,01H9P903AJBGVA5T4VCFP2XR7N,,,,,,,,,,,2023-09-06 23:09:21.651964 +0000 UTC,01H9P903AMF5S8BSBGWRS1CHJG,hellaswag-microsoft-deberta-v3-xsmall-lora_32-lr_1e-4-seed_3
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,32,3,hellaswag,,01H9P903AJBGVA5T4VCFP2XR7N,,3.76,0.4070902210714997,1.2723156213760376,0.3727147346855422,0.40709022107149967,118.5099,10042,84.736,10.598,,01H9P903AMF5S8BSBGWRS1CHJG,hellaswag-microsoft-deberta-v3-xsmall-lora_32-lr_1e-4-seed_3
